,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,n_estimators,ccp_alpha,criterion,loss
1347,1.16748104095459,0.01789262119948176,0.017512178421020506,0.0004034954107792983,0.7577181208053692,0.03531630098502783,0.8642058165548099,0.004022009413918516,bow,76,1,False,unigram_bigram,800,40,0.0,friedman_mse,deviance
381,0.9148680448532105,0.012156307492596509,0.017731237411499023,0.00034344471977025364,0.7577181208053692,0.0375419228750255,0.8457121551081282,0.004049567183411029,bow,76,1,True,unigram_bigram,200,40,0.0,friedman_mse,deviance
1305,1.035532546043396,0.025428923292547895,0.017557501792907715,0.0005292651588741471,0.7563758389261745,0.03614827653555767,0.8614466815809099,0.0035576019215142695,bow,78,1,False,unigram_bigram,400,40,0.0,friedman_mse,deviance
465,1.1324558973312377,0.023347972866449955,0.017612624168395995,0.0005452725065033761,0.7550335570469799,0.0391626696936783,0.8608501118568233,0.005492006753026698,bow,79,1,True,unigram_bigram,800,40,0.0,friedman_mse,deviance
1439,2.8627665042877197,0.030380986675286617,0.017239832878112794,0.0005480533063748938,0.7550335570469799,0.032221755393712234,0.8076062639821029,0.004138534504254005,bow,79,1,False,unigram_bigram,1600,80,0.001,friedman_mse,deviance
1441,6.776896548271179,0.08039208196535315,0.018228960037231446,0.0005048522031567274,0.7550335570469799,0.03464673691044379,0.8069351230425056,0.004328343582679014,bow,79,1,False,unigram_bigram,1600,200,0.001,friedman_mse,deviance
1440,3.4916106462478638,0.04329819257866884,0.017299294471740723,0.00035481605217377093,0.7550335570469798,0.03318586661765401,0.8068605518269948,0.004231546893098008,bow,82,1,False,unigram_bigram,1600,100,0.001,friedman_mse,deviance
1438,1.5390110969543458,0.01831792135059535,0.016935443878173827,0.0005234487174551842,0.7550335570469798,0.03318586661765401,0.807158836689038,0.004414212852184551,bow,82,1,False,unigram_bigram,1600,40,0.001,friedman_mse,deviance
1105,6.519138240814209,0.06666936610056291,0.014075398445129395,0.00018997922615442332,0.7536912751677853,0.036272668770125256,0.8037285607755408,0.003650182923346877,bow,84,1,False,unigram,1400,200,0.001,friedman_mse,deviance
1398,3.222701406478882,0.06059248919002688,0.017484354972839355,0.00054856690513776,0.7536912751677852,0.030762863453331107,0.8064131245339301,0.004312254226637114,bow,85,1,False,unigram_bigram,1400,100,0.001,friedman_mse,deviance
1397,2.6378268957138062,0.0342028507650447,0.017230916023254394,0.0005258514266294466,0.7536912751677851,0.031912734034815406,0.8068605518269948,0.0033349261409392826,bow,86,1,False,unigram_bigram,1400,80,0.001,friedman_mse,deviance
1399,6.283997392654419,0.0654459401046477,0.018471407890319824,0.0004410065012341716,0.7536912751677851,0.031912734034815406,0.8066368381804623,0.0038031319910514514,bow,86,1,False,unigram_bigram,1400,200,0.001,friedman_mse,deviance
1061,2.1894068717956543,0.027563841781073982,0.012496685981750489,0.001581487371553299,0.753020134228188,0.03661256831405599,0.801565995525727,0.0037943487645662986,bow,88,1,False,unigram,800,80,0.001,friedman_mse,deviance
1147,6.8796586990356445,0.06925529707434529,0.014304351806640626,0.0003709550803051506,0.7530201342281879,0.034976682471933904,0.8036539895600299,0.0036993636852535295,bow,89,1,False,unigram,1600,200,0.001,friedman_mse,deviance
558,3.346619200706482,0.039768897259347465,0.017169809341430663,0.0005495214472831324,0.7530201342281879,0.032437707311663296,0.8052945563012678,0.004479862280648947,bow,89,1,True,unigram_bigram,1600,100,0.001,friedman_mse,deviance
559,6.5208046436309814,0.100221509919726,0.01836996078491211,0.00041277483445564984,0.7530201342281879,0.034588184501275515,0.8051454138702461,0.004763810963067699,bow,89,1,True,unigram_bigram,1600,200,0.001,friedman_mse,deviance
1263,0.9348403215408325,0.018315225276168013,0.017004919052124024,0.0012890578610527423,0.7530201342281879,0.03829622179244862,0.8469798657718121,0.005055466444945058,bow,89,1,False,unigram_bigram,200,40,0.0,friedman_mse,deviance
929,1.7833765745162964,0.04460081209282648,0.015949344635009764,0.0004535022233234634,0.7530201342281878,0.028913636548373183,0.8443698732289336,0.0040577980195116445,bow,93,1,False,unigram,80,100,0.0,friedman_mse,deviance
515,2.557578444480896,0.03874094444167012,0.017102622985839845,0.0006195747444411884,0.7523489932885907,0.032940647494786646,0.8046979865771812,0.0038235477235777147,bow,94,1,True,unigram_bigram,1400,80,0.001,friedman_mse,deviance
1146,3.50178804397583,0.02588807443161128,0.013034749031066894,0.0002805371650256755,0.7523489932885907,0.03401698227509847,0.8029082774049217,0.0036234244931413243,bow,94,1,False,unigram,1600,100,0.001,friedman_mse,deviance
976,0.8288415908813477,0.016184471222042727,0.013537788391113281,0.00045221862215018933,0.7523489932885906,0.03388431023185058,0.7916480238627889,0.005892541764396242,bow,96,1,False,unigram,200,40,0.001,friedman_mse,deviance
979,3.680010199546814,0.052930894765532914,0.014444851875305175,0.0002724217977919561,0.7523489932885906,0.03388431023185058,0.7915734526472781,0.005949362424097891,bow,96,1,False,unigram,200,200,0.001,friedman_mse,deviance
978,1.882325005531311,0.03180909181907812,0.013277792930603027,0.00033885788493729453,0.7523489932885906,0.03388431023185058,0.7918717375093214,0.005703113737508985,bow,96,1,False,unigram,200,100,0.001,friedman_mse,deviance
1018,0.9590128421783447,0.012548757875358994,0.013247799873352051,0.0004390603692141639,0.7523489932885906,0.034672728464669775,0.8006711409395975,0.004192600386836859,bow,96,1,False,unigram,400,40,0.001,friedman_mse,deviance
977,1.5308505773544312,0.01760849775833793,0.013234186172485351,0.00045054053959875146,0.7523489932885906,0.03388431023185058,0.7914988814317674,0.0056516913710652865,bow,96,1,False,unigram,200,80,0.001,friedman_mse,deviance
1103,2.694377064704895,0.03662473521752018,0.012869119644165039,0.0003441705270076433,0.7523489932885906,0.03401698227509847,0.803131991051454,0.0034496744239285015,bow,96,1,False,unigram,1400,80,0.001,friedman_mse,deviance
180,2.5533196210861204,0.0319316002713484,0.013228249549865723,0.00031939711913494417,0.7516778523489933,0.03369100777989566,0.7982848620432513,0.005730350321681784,bow,102,1,True,unigram,800,100,0.001,friedman_mse,deviance
1396,1.421000599861145,0.014078374248177797,0.017035412788391113,0.0003438837059931048,0.7516778523489933,0.031479300401499516,0.8066368381804624,0.003545859337201703,bow,102,1,False,unigram_bigram,1400,40,0.001,friedman_mse,deviance
556,1.4740481615066527,0.016836193773969863,0.016905856132507325,0.0004098147966904972,0.7516778523489933,0.03190567603759656,0.8051454138702461,0.004657567925317576,bow,102,1,True,unigram_bigram,1600,40,0.001,friedman_mse,deviance
1062,2.6975993394851683,0.1011027914337456,0.013192510604858399,0.00027185297694442667,0.7516778523489933,0.035130878733697725,0.8017897091722596,0.003247060560339619,bow,102,1,False,unigram,800,100,0.001,friedman_mse,deviance
1063,5.2399131774902346,0.0645646439966538,0.014133572578430176,0.00023849436628291802,0.7516778523489933,0.03500242902122228,0.8011931394481732,0.003671449254315027,bow,102,1,False,unigram,800,200,0.001,friedman_mse,deviance
1020,2.151820993423462,0.0661456466942023,0.013432073593139648,0.00033954212333911303,0.7516778523489933,0.03448384584876545,0.8000745712155108,0.0038380639022990966,bow,102,1,False,unigram,400,100,0.001,friedman_mse,deviance
514,1.3769782066345215,0.014524889430467071,0.016826939582824708,0.0004753495382225484,0.7516778523489933,0.0334225492563456,0.8045488441461597,0.004733363481747464,bow,102,1,True,unigram_bigram,1400,40,0.001,friedman_mse,deviance
517,6.087824654579163,0.0903697963974924,0.01818690299987793,0.0004656179975987099,0.7516778523489933,0.0334225492563456,0.8047725577926921,0.003381292781134874,bow,102,1,True,unigram_bigram,1400,200,0.001,friedman_mse,deviance
1060,1.2053714990615845,0.08886748112903584,0.012786555290222167,0.0004503421264429471,0.7516778523489933,0.03500242902122228,0.8011931394481729,0.0033047755117315875,bow,102,1,False,unigram,800,40,0.001,friedman_mse,deviance
137,1.64753897190094,0.09579156934859949,0.01224067211151123,0.0023298794970510227,0.751006711409396,0.036446104650699244,0.7961222967934376,0.004671278080049466,bow,111,1,True,unigram,400,80,0.001,friedman_mse,deviance
1019,1.7706928253173828,0.05856922583928735,0.013336968421936036,0.00027469588909453496,0.751006711409396,0.034672728464669775,0.8002237136465326,0.003750124074774082,bow,111,1,False,unigram,400,80,0.001,friedman_mse,deviance
930,3.4874300718307496,0.11808127102522716,0.01918466091156006,0.0004845977596378991,0.751006711409396,0.029629181281401473,0.8686055182699478,0.005153513062839961,bow,111,1,False,unigram,80,200,0.0,friedman_mse,deviance
1313,1.7613001108169555,0.0512976817091479,0.017493939399719237,0.0004934364440623579,0.7510067114093959,0.03582283528881214,0.7953020134228188,0.004274043215781369,bow,114,1,False,unigram_bigram,400,80,0.001,friedman_mse,deviance
178,1.1052059650421142,0.010930670114434105,0.012982606887817383,0.0003996946366194442,0.7510067114093959,0.035060289628480464,0.7996271439224458,0.004071479103570082,bow,114,1,True,unigram,800,40,0.001,friedman_mse,deviance
557,2.745894265174866,0.04800652476681914,0.01722412109375,0.00041397753942533366,0.7510067114093959,0.03168609834661176,0.8046234153616704,0.0041653214149944655,bow,114,1,True,unigram_bigram,1600,80,0.001,friedman_mse,deviance
95,1.459942388534546,0.026856191892727643,0.012987565994262696,0.0007608469774355611,0.7510067114093959,0.035316300985027846,0.7879194630872484,0.004683167328294589,bow,114,1,True,unigram,200,80,0.001,friedman_mse,deviance
96,1.787419581413269,0.04758404192814149,0.013190984725952148,0.00027840938970651074,0.7510067114093959,0.035316300985027846,0.7878448918717375,0.004539053778831691,bow,114,1,True,unigram,200,100,0.001,friedman_mse,deviance
432,1.9610274314880372,0.0869103943937111,0.017976975440979003,0.00046887758617414983,0.7510067114093959,0.03531630098502783,0.7929157345264728,0.004844833965930142,bow,114,1,True,unigram_bigram,400,100,0.001,friedman_mse,deviance
