,adjusted_rand,homogeneity,completeness,v_measure,vec_name,fs_name,clust_name,repetition,n_clusters,noise
0,0.024517884196553416,0.4125815378675918,0.1408284557699842,0.20998255009883166,bow-binary,chi_k-600,dbscan-03-10-cosine,1,6.0,1283.0
0,0.007994245939824745,0.3498630657011593,0.095011897192724,0.14944043339143295,bow-binary,chi_k-600,dbscan-01-10-cosine,1,7.0,1357.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-600,dbscan-1-20-cosine,1,1.0,0.0
0,0.0010007057275280107,0.16190523847322214,0.003188146011159475,0.006253158378651555,bow-binary,chi_k-600,dbscan-09-20-cosine,1,1.0,8.0
0,0.022558982240684963,0.22679020481922665,0.03901863006008065,0.06658200888702068,bow-binary,chi_k-600,dbscan-07-20-cosine,1,2.0,85.0
0,0.05498958026098851,0.3521423845740665,0.19789173300121568,0.2533881609153264,bow-binary,chi_k-600,dbscan-05-20-cosine,1,8.0,1133.0
0,0.028475090320174614,0.5057121561653755,0.10851347215794456,0.17868541932313933,bow-binary,chi_k-600,dbscan-03-20-cosine,1,2.0,1342.0
0,0.009844874817465795,0.3985468997786256,0.06783783269132904,0.11594100760394008,bow-binary,chi_k-600,dbscan-01-20-cosine,1,3.0,1401.0
0,0.10934290428360151,0.3187130470898196,0.11417612537008139,0.16812349735995621,bow-binary,chi_k-400,kmeans-2-cousine,1,2.0,0.0
0,0.12621831862688684,0.19482606595726876,0.12401831855862071,0.15155983473315524,bow-binary,chi_k-400,kmeans-3-cousine,1,3.0,0.0
0,0.15082094612709865,0.2379661797130988,0.18500652081735358,0.20817085795705093,bow-binary,chi_k-400,kmeans-4-cousine,1,4.0,0.0
0,0.24189585364390853,0.28290132473513446,0.2647875550175889,0.2735449006073442,bow-binary,chi_k-400,kmeans-5-cousine,1,5.0,0.0
0,0.1682975447126509,0.19503542287247194,0.20171848626405509,0.19832066862467557,bow-binary,chi_k-400,kmeans-6-cousine,1,6.0,0.0
0,0.18938817211961914,0.22066442347595078,0.24235093952181788,0.23099980960543062,bow-binary,chi_k-400,kmeans-7-cousine,1,7.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-400,dbscan-1-5-cosine,1,1.0,0.0
0,0.002461331884094438,0.18205888613973514,0.006368442410867258,0.01230640524053469,bow-binary,chi_k-400,dbscan-09-5-cosine,1,1.0,16.0
0,0.0034155154740456153,0.16232436998015326,0.006251020203721273,0.012038446598824217,bow-binary,chi_k-400,dbscan-07-5-cosine,1,1.0,18.0
0,0.04116077448295075,0.1511274867379198,0.06582475176244805,0.09170616876570613,bow-binary,chi_k-400,dbscan-05-5-cosine,1,5.0,378.0
0,0.04158411881317125,0.30919118563494896,0.21956671274471476,0.2567832743398983,bow-binary,chi_k-400,dbscan-03-5-cosine,1,19.0,1090.0
0,0.013802050584006452,0.32307939485126513,0.13309396615619853,0.18852445898696765,bow-binary,chi_k-400,dbscan-01-5-cosine,1,16.0,1300.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-400,dbscan-1-10-cosine,1,1.0,0.0
0,0.002461331884094438,0.18205888613973514,0.006368442410867258,0.01230640524053469,bow-binary,chi_k-400,dbscan-09-10-cosine,1,1.0,16.0
0,0.0036059028268867078,0.15988820199027448,0.006707248928256357,0.012874420826347035,bow-binary,chi_k-400,dbscan-07-10-cosine,1,1.0,20.0
0,0.053494561226899676,0.1519191821527147,0.07355333023683282,0.09911772974687619,bow-binary,chi_k-400,dbscan-05-10-cosine,1,4.0,584.0
0,0.03858073493198005,0.374175898371579,0.17935026849081123,0.2424765145833359,bow-binary,chi_k-400,dbscan-03-10-cosine,1,8.0,1201.0
0,0.008315312104876996,0.35129370113264674,0.09829186863691589,0.15360508275389834,bow-binary,chi_k-400,dbscan-01-10-cosine,1,7.0,1352.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-400,dbscan-1-20-cosine,1,1.0,0.0
0,0.002461331884094438,0.18205888613973514,0.006368442410867258,0.01230640524053469,bow-binary,chi_k-400,dbscan-09-20-cosine,1,1.0,16.0
0,0.004414332927364272,0.15410919717441138,0.008949729749087316,0.01691702125829492,bow-binary,chi_k-400,dbscan-07-20-cosine,1,1.0,30.0
0,0.08187094094144098,0.24091968393488714,0.14529515891877992,0.18126938625838623,bow-binary,chi_k-400,dbscan-05-20-cosine,1,4.0,810.0
0,0.030630855881116085,0.5118332032304067,0.1121914109493303,0.18404174430399983,bow-binary,chi_k-400,dbscan-03-20-cosine,1,2.0,1337.0
0,0.010079705950498348,0.3994350108097947,0.06979651741377638,0.11882906842685312,bow-binary,chi_k-400,dbscan-01-20-cosine,1,3.0,1398.0
0,0.21795985885358007,0.300059447517421,0.19233922380614568,0.23441655955759866,bow-binary,chi_k-200,kmeans-3-cousine,1,3.0,0.0
0,0.205512458824564,0.2642396430127883,0.2123881614971502,0.23549348755200106,bow-binary,chi_k-200,kmeans-4-cousine,1,4.0,0.0
0,0.32234938243107947,0.34056046478172197,0.3704572119266951,0.35488029175183133,bow-binary,chi_k-200,kmeans-7-cousine,1,7.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-200,dbscan-1-5-cosine,1,1.0,0.0
0,0.008309179986935087,0.11207392273049005,0.010863996978303689,0.019807895900219828,bow-binary,chi_k-200,dbscan-09-5-cosine,1,1.0,58.0
0,0.008309179986935087,0.11207392273049005,0.010863996978303689,0.019807895900219828,bow-binary,chi_k-200,dbscan-07-5-cosine,1,1.0,58.0
0,0.034578825155281115,0.28174254246157937,0.05443025415739686,0.09123473610814643,bow-binary,chi_k-200,dbscan-05-5-cosine,1,2.0,105.0
0,0.03910882914744274,0.15111485322054394,0.08358546610305265,0.1076351790056013,bow-binary,chi_k-200,dbscan-03-5-cosine,1,11.0,556.0
