,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,alpha
618,0.09373109340667725,0.018402347986348107,0.012334728240966797,0.0031885893176272855,0.7805369127516778,0.03315870960278019,0.8911260253542131,0.004111573080414675,bow,99,1,False,unigram_bigram,1000,0.2
83,0.03599412441253662,0.0005251732805730051,0.006227231025695801,0.00014063270806436237,0.7805369127516778,0.034096337707061844,0.9068605518269948,0.0036448469529753703,bow,99,1,True,unigram,800,0.6
70,0.03636360168457031,0.0004805827611504133,0.006660199165344239,0.00046652319864170654,0.7798657718120806,0.030431635030213806,0.8821774794929157,0.0037434453088772855,bow,101,1,True,unigram,400,0.4
465,0.03605697154998779,0.00035524919444807356,0.006086516380310059,0.0001502410921614183,0.7798657718120806,0.036365683715822994,0.880089485458613,0.004955480305991397,bow,101,1,False,unigram,400,0.3
68,0.03906373977661133,0.007848531650160973,0.006811761856079101,0.0011995770136368296,0.7798657718120806,0.03734343018320418,0.8858314690529456,0.0029349244823496526,bow,101,1,True,unigram,400,0.2
486,0.04097959995269775,0.00796723497164682,0.007246088981628418,0.0007833952074091277,0.7798657718120805,0.04178357695643862,0.9282624906785981,0.004135846271099786,bow,104,1,False,unigram,1000,0.2
85,0.035793209075927736,0.00029601116371523364,0.006072187423706054,0.00024354560434514715,0.7798657718120805,0.03366425826573007,0.8984340044742728,0.005437054775110579,bow,104,1,True,unigram,800,0.8
464,0.03808836936950684,0.005959937322002675,0.0063278436660766605,0.00013260868160614418,0.7798657718120805,0.03734343018320417,0.8821029082774048,0.004872303124211682,bow,104,1,False,unigram,400,0.2
98,0.03629410266876221,0.0005378958730957698,0.0063083887100219725,0.0002077434277860058,0.7798657718120805,0.029530201342281882,0.9004474272930647,0.0034857556726384134,bow,104,1,True,unigram,1000,1.0
651,0.09441492557525635,0.02144483764680276,0.010433554649353027,0.002543085229286138,0.7798657718120805,0.03379779412621254,0.9286353467561522,0.0035770872349624094,bow,104,1,False,unigram_bigram,1600,0.2
643,0.11048173904418945,0.025135501612497342,0.013891959190368652,0.002597993985222694,0.7791946308724833,0.03224970141405091,0.9079045488441462,0.0028346872197983894,bow,109,1,False,unigram_bigram,1400,0.5
67,0.03639440536499024,0.000432202314647493,0.006524562835693359,0.00014023638143789664,0.7791946308724833,0.040094703439580805,0.8876957494407158,0.004476757947741576,bow,109,1,True,unigram,400,0.1
640,0.13504321575164796,0.010662144968284453,0.01537621021270752,0.00040858484459208635,0.7791946308724832,0.03531630098502785,0.918269947800149,0.0035167266584792125,bow,111,1,False,unigram_bigram,1400,0.2
507,0.03636701107025146,0.0005491671782731907,0.006340312957763672,0.00017352767867698574,0.7791946308724832,0.033884310231850574,0.9422818791946309,0.003304775511731604,bow,111,1,False,unigram,1400,0.1
71,0.03854434490203858,0.005993917593961298,0.006783914566040039,0.0011262717980476842,0.7791946308724832,0.028702556752138404,0.8799403430275914,0.0045114044630139225,bow,111,1,True,unigram,400,0.5
470,0.03667614459991455,0.0015306340141627852,0.006390023231506348,0.00018609516417874582,0.7785234899328859,0.03551344041697438,0.8705443698732289,0.004659358494202345,bow,114,1,False,unigram,400,0.8
659,0.1158231258392334,0.022155464870955016,0.011677432060241699,0.0028950559275631145,0.7785234899328859,0.03274177427557171,0.9030574198359433,0.0029263858121325206,bow,114,1,False,unigram_bigram,1600,1.0
82,0.035948562622070315,0.00031422996732863263,0.0063239336013793945,0.00026495074382074026,0.7785234899328859,0.03260391356104998,0.9105891126025355,0.0035206775940679765,bow,114,1,True,unigram,800,0.5
463,0.03665704727172851,0.0011994271292446387,0.006343340873718262,0.0001428545733717651,0.7785234899328859,0.03700415772373214,0.8847874720357941,0.0053280598591786054,bow,114,1,False,unigram,400,0.1
